shortests paths:
 1-2: 1;
 1-2-3: 2;
 1-4: 7;
 1-2-3-5: 10;
 1-6: 5;
 1-2-3-7: 7;
 1-2-8: 2;
 2-1: 1;
 2-3: 1;
 2-8-4: 7;
 2-3-5: 9;
 2-1-6: 6;
 2-3-7: 6;
 2-8: 1;
 3-2-1: 2;
 3-2: 1;
 3-7-4: 7;
 3-5: 8;
 3-2-1-6: 7;
 3-7: 5;
 3-2-8: 2;
 4-1: 7;
 4-8-2: 7;
 4-7-3: 7;
 4-5: 6;
 4-1-6: 12;
 4-7: 2;
 4-8: 6;
 5-3-2-1: 10;
 5-3-2: 9;
 5-3: 8;
 5-4: 6;
 5-3-2-1-6: 15;
 5-4-7: 8;
 5-3-2-8: 10;
 6-1: 5;
 6-1-2: 6;
 6-1-2-3: 7;
 6-1-4: 12;
 6-1-2-3-5: 15;
 6-1-2-3-7: 12;
 6-1-2-8: 7;
 7-3-2-1: 7;
 7-3-2: 6;
 7-3: 5;
 7-4: 2;
 7-4-5: 8;
 7-3-2-1-6: 12;
 7-8: 5;
 8-2-1: 2;
 8-2: 1;
 8-2-3: 2;
 8-4: 6;
 8-2-3-5: 10;
 8-2-1-6: 7;
 8-7: 5;
