shortests paths:
 1-2: 1;
 1-3: 2;
 1-2-4: 2;
 1-3-5: 8;
 1-2-6: 2;
 1-7: 5;
 1-3-8: 6;
 2-1: 1;
 2-1-3: 3;
 2-4: 1;
 2-1-3-5: 9;
 2-6: 1;
 2-1-7: 6;
 2-1-3-8: 7;
 3-1: 2;
 3-1-2: 3;
 3-1-2-4: 4;
 3-5: 6;
 3-1-2-6: 4;
 3-1-7: 7;
 3-8: 4;
 4-2-1: 2;
 4-2: 1;
 4-2-1-3: 4;
 4-2-1-3-5: 10;
 4-2-6: 2;
 4-7: 7;
 4-8: 8;
 5-3-1: 8;
 5-3-1-2: 9;
 5-3: 6;
 5-3-1-2-4: 10;
 5-3-1-2-6: 10;
 5-7: 8;
 5-3-8: 10;
 6-2-1: 2;
 6-2: 1;
 6-2-1-3: 4;
 6-2-4: 2;
 6-2-1-3-5: 10;
 6-7: 6;
 6-2-1-3-8: 8;
 7-1: 5;
 7-1-2: 6;
 7-1-3: 7;
 7-4: 7;
 7-5: 8;
 7-6: 6;
 7-8: 7;
 8-3-1: 6;
 8-3-1-2: 7;
 8-3: 4;
 8-4: 8;
 8-3-5: 10;
 8-3-1-2-6: 8;
 8-7: 7;
