shortests paths:
 1-2: 1;
 1-3: 5;
 1-2-4: 2;
 1-2-4-5: 3;
 1-2-4-6: 11;
 1-2-4-5-7: 4;
 1-8: 4;
 2-1: 1;
 2-1-3: 6;
 2-4: 1;
 2-4-5: 2;
 2-4-6: 10;
 2-4-5-7: 3;
 2-8: 3;
 3-1: 5;
 3-1-2: 6;
 3-1-2-4: 7;
 3-1-2-4-5: 8;
 3-1-2-4-6: 16;
 3-1-2-4-5-7: 9;
 3-1-8: 9;
 4-2-1: 2;
 4-2: 1;
 4-2-1-3: 7;
 4-5: 1;
 4-6: 9;
 4-5-7: 2;
 4-2-8: 4;
 5-4-2-1: 3;
 5-4-2: 2;
 5-4-2-1-3: 8;
 5-4: 1;
 5-6: 9;
 5-7: 1;
 5-4-2-8: 5;
 6-4-2-1: 11;
 6-4-2: 10;
 6-4-2-1-3: 16;
 6-4: 9;
 6-5: 9;
 6-5-7: 10;
 6-4-2-8: 13;
 7-5-4-2-1: 4;
 7-5-4-2: 3;
 7-5-4-2-1-3: 9;
 7-5-4: 2;
 7-5: 1;
 7-5-6: 10;
 7-5-4-2-8: 6;
 8-1: 4;
 8-2: 3;
 8-1-3: 9;
 8-2-4: 4;
 8-2-4-5: 5;
 8-2-4-6: 13;
 8-2-4-5-7: 6;
