shortests paths:
 1-2: 1;
 1-3: 2;
 1-2-4: 2;
 1-2-4-5: 7;
 1-3-6: 4;
 1-7: 9;
 1-3-8: 6;
 2-1: 1;
 2-1-3: 3;
 2-4: 1;
 2-4-5: 6;
 2-4-6: 4;
 2-1-7: 10;
 2-1-3-8: 7;
 3-1: 2;
 3-1-2: 3;
 3-1-2-4: 4;
 3-6-5: 6;
 3-6: 2;
 3-1-7: 11;
 3-8: 4;
 4-2-1: 2;
 4-2: 1;
 4-2-1-3: 4;
 4-5: 5;
 4-6: 3;
 4-2-1-7: 11;
 4-2-1-3-8: 8;
 5-4-2-1: 7;
 5-4-2: 6;
 5-6-3: 6;
 5-4: 5;
 5-6: 4;
 5-4-2-1-7: 16;
 5-6-3-8: 10;
 6-3-1: 4;
 6-4-2: 4;
 6-3: 2;
 6-4: 3;
 6-5: 4;
 6-3-1-7: 13;
 6-3-8: 6;
 7-1: 9;
 7-1-2: 10;
 7-1-3: 11;
 7-1-2-4: 11;
 7-1-2-4-5: 16;
 7-1-3-6: 13;
 7-1-3-8: 15;
 8-3-1: 6;
 8-3-1-2: 7;
 8-3: 4;
 8-3-1-2-4: 8;
 8-3-6-5: 10;
 8-3-6: 6;
 8-3-1-7: 15;
