shortests paths:
 1-2: 1;
 1-3: 9;
 1-2-4: 2;
 1-5: 3;
 1-6: 5;
 1-2-7: 7;
 1-2-8: 3;
 2-1: 1;
 2-8-3: 9;
 2-4: 1;
 2-1-5: 4;
 2-1-6: 6;
 2-7: 6;
 2-8: 2;
 3-1: 9;
 3-8-2: 9;
 3-8-2-4: 10;
 3-1-5: 12;
 3-6: 7;
 3-8-2-7: 15;
 3-8: 7;
 4-2-1: 2;
 4-2: 1;
 4-2-8-3: 10;
 4-5: 4;
 4-2-1-6: 7;
 4-2-7: 7;
 4-2-8: 3;
 5-1: 3;
 5-1-2: 4;
 5-1-3: 12;
 5-4: 4;
 5-1-6: 8;
 5-1-2-7: 10;
 5-1-2-8: 6;
 6-1: 5;
 6-1-2: 6;
 6-3: 7;
 6-1-2-4: 7;
 6-1-5: 8;
 6-1-2-7: 12;
 6-8: 6;
 7-2-1: 7;
 7-2: 6;
 7-2-8-3: 15;
 7-2-4: 7;
 7-2-1-5: 10;
 7-2-1-6: 12;
 7-2-8: 8;
 8-2-1: 3;
 8-2: 2;
 8-3: 7;
 8-2-4: 3;
 8-2-1-5: 6;
 8-6: 6;
 8-2-7: 8;
