shortests paths:
 1-2: 1;
 1-2-3: 4;
 1-2-4: 2;
 1-2-5: 9;
 1-2-3-6: 11;
 1-2-4-7: 3;
 1-2-4-7-8: 6;
 2-1: 1;
 2-3: 3;
 2-4: 1;
 2-5: 8;
 2-3-6: 10;
 2-4-7: 2;
 2-4-7-8: 5;
 3-2-1: 4;
 3-2: 3;
 3-2-4: 4;
 3-2-5: 11;
 3-6: 7;
 3-2-4-7: 5;
 3-2-4-7-8: 8;
 4-2-1: 2;
 4-2: 1;
 4-2-3: 4;
 4-5: 9;
 4-2-3-6: 11;
 4-7: 1;
 4-7-8: 4;
 5-2-1: 9;
 5-2: 8;
 5-2-3: 11;
 5-4: 9;
 5-6: 4;
 5-4-7: 10;
 5-4-7-8: 13;
 6-3-2-1: 11;
 6-3-2: 10;
 6-3: 7;
 6-3-2-4: 11;
 6-5: 4;
 6-3-2-4-7: 12;
 6-3-2-4-7-8: 15;
 7-4-2-1: 3;
 7-4-2: 2;
 7-4-2-3: 5;
 7-4: 1;
 7-4-5: 10;
 7-4-2-3-6: 12;
 7-8: 3;
 8-7-4-2-1: 6;
 8-7-4-2: 5;
 8-7-4-2-3: 8;
 8-7-4: 4;
 8-7-4-5: 13;
 8-7-4-2-3-6: 15;
 8-7: 3;
