shortests paths:
 1-2: 1;
 1-2-3: 2;
 1-4: 2;
 1-2-5: 8;
 1-4-6: 7;
 1-2-7: 8;
 1-4-8: 7;
 2-1: 1;
 2-3: 1;
 2-1-4: 3;
 2-5: 7;
 2-1-4-6: 8;
 2-7: 7;
 2-1-4-8: 8;
 3-2-1: 2;
 3-2: 1;
 3-2-1-4: 4;
 3-2-5: 8;
 3-6: 9;
 3-2-7: 8;
 3-2-1-4-8: 9;
 4-1: 2;
 4-1-2: 3;
 4-1-2-3: 4;
 4-5: 7;
 4-6: 5;
 4-8-7: 6;
 4-8: 5;
 5-2-1: 8;
 5-2: 7;
 5-2-3: 8;
 5-4: 7;
 5-6: 7;
 5-4-8-7: 13;
 5-4-8: 12;
 6-4-1: 7;
 6-4-1-2: 8;
 6-3: 9;
 6-4: 5;
 6-5: 7;
 6-4-8-7: 11;
 6-4-8: 10;
 7-2-1: 8;
 7-2: 7;
 7-2-3: 8;
 7-8-4: 6;
 7-8-4-5: 13;
 7-8-4-6: 11;
 7-8: 1;
 8-4-1: 7;
 8-4-1-2: 8;
 8-4-1-2-3: 9;
 8-4: 5;
 8-4-5: 12;
 8-4-6: 10;
 8-7: 1;
