shortests paths:
 1-2: 1;
 1-2-3: 2;
 1-2-4: 10;
 1-2-5: 2;
 1-6: 9;
 1-2-3-7: 3;
 1-2-3-7-8: 5;
 2-1: 1;
 2-3: 1;
 2-4: 9;
 2-5: 1;
 2-1-6: 10;
 2-3-7: 2;
 2-3-7-8: 4;
 3-2-1: 2;
 3-2: 1;
 3-4: 8;
 3-2-5: 2;
 3-4-6: 9;
 3-7: 1;
 3-7-8: 3;
 4-2-1: 10;
 4-2: 9;
 4-3: 8;
 4-2-5: 10;
 4-6: 1;
 4-3-7: 9;
 4-8: 10;
 5-2-1: 2;
 5-2: 1;
 5-2-3: 2;
 5-2-4: 10;
 5-2-1-6: 11;
 5-2-3-7: 3;
 5-2-3-7-8: 5;
 6-1: 9;
 6-1-2: 10;
 6-4-3: 9;
 6-4: 1;
 6-1-2-5: 11;
 6-4-3-7: 10;
 6-4-8: 11;
 7-3-2-1: 3;
 7-3-2: 2;
 7-3: 1;
 7-3-4: 9;
 7-3-2-5: 3;
 7-3-4-6: 10;
 7-8: 2;
 8-7-3-2-1: 5;
 8-7-3-2: 4;
 8-7-3: 3;
 8-4: 10;
 8-7-3-2-5: 5;
 8-4-6: 11;
 8-7: 2;
