shortests paths:
 1-2: 1;
 1-2-3: 6;
 1-2-4: 2;
 1-2-4-8-5: 9;
 1-2-6: 5;
 1-2-4-7: 8;
 1-2-4-8: 3;
 2-1: 1;
 2-3: 5;
 2-4: 1;
 2-4-8-5: 8;
 2-6: 4;
 2-4-7: 7;
 2-4-8: 2;
 3-2-1: 6;
 3-2: 5;
 3-2-4: 6;
 3-2-4-8-5: 13;
 3-2-6: 9;
 3-2-4-7: 12;
 3-2-4-8: 7;
 4-2-1: 2;
 4-2: 1;
 4-2-3: 6;
 4-8-5: 7;
 4-2-6: 5;
 4-7: 6;
 4-8: 1;
 5-8-4-2-1: 9;
 5-8-4-2: 8;
 5-8-4-2-3: 13;
 5-8-4: 7;
 5-6: 9;
 5-7: 8;
 5-8: 6;
 6-2-1: 5;
 6-2: 4;
 6-2-3: 9;
 6-2-4: 5;
 6-5: 9;
 6-2-4-7: 11;
 6-2-4-8: 6;
 7-4-2-1: 8;
 7-4-2: 7;
 7-4-2-3: 12;
 7-4: 6;
 7-5: 8;
 7-4-2-6: 11;
 7-4-8: 7;
 8-4-2-1: 3;
 8-4-2: 2;
 8-4-2-3: 7;
 8-4: 1;
 8-5: 6;
 8-4-2-6: 6;
 8-4-7: 7;
