shortests paths:
 1-2: 1;
 1-2-3: 2;
 1-2-3-4: 3;
 1-2-3-5: 3;
 1-6: 9;
 1-2-3-5-7: 4;
 1-2-3-5-8: 7;
 2-1: 1;
 2-3: 1;
 2-3-4: 2;
 2-3-5: 2;
 2-1-6: 10;
 2-3-5-7: 3;
 2-3-5-8: 6;
 3-2-1: 2;
 3-2: 1;
 3-4: 1;
 3-5: 1;
 3-2-1-6: 11;
 3-5-7: 2;
 3-5-8: 5;
 4-3-2-1: 3;
 4-3-2: 2;
 4-3: 1;
 4-5: 1;
 4-3-2-1-6: 12;
 4-5-7: 2;
 4-5-8: 5;
 5-3-2-1: 3;
 5-3-2: 2;
 5-3: 1;
 5-4: 1;
 5-3-2-1-6: 12;
 5-7: 1;
 5-8: 4;
 6-1: 9;
 6-1-2: 10;
 6-1-2-3: 11;
 6-1-2-3-4: 12;
 6-1-2-3-5: 12;
 6-1-2-3-5-7: 13;
 6-1-2-3-5-8: 16;
 7-5-3-2-1: 4;
 7-5-3-2: 3;
 7-5-3: 2;
 7-5-4: 2;
 7-5: 1;
 7-5-3-2-1-6: 13;
 7-5-8: 5;
 8-5-3-2-1: 7;
 8-5-3-2: 6;
 8-5-3: 5;
 8-5-4: 5;
 8-5: 4;
 8-5-3-2-1-6: 16;
 8-5-7: 5;
