shortests paths:
 1-2: 1;
 1-3: 7;
 1-3-4: 11;
 1-2-5: 2;
 1-3-4-6: 17;
 1-7: 4;
 1-3-4-8: 12;
 2-1: 1;
 2-3: 7;
 2-3-4: 11;
 2-5: 1;
 2-3-4-6: 17;
 2-1-7: 5;
 2-3-4-8: 12;
 3-1: 7;
 3-2: 7;
 3-4: 4;
 3-2-5: 8;
 3-4-6: 10;
 3-7: 7;
 3-4-8: 5;
 4-3-1: 11;
 4-3-2: 11;
 4-3: 4;
 4-3-2-5: 12;
 4-6: 6;
 4-3-7: 11;
 4-8: 1;
 5-2-1: 2;
 5-2: 1;
 5-2-3: 8;
 5-2-3-4: 12;
 5-2-3-4-6: 18;
 5-2-1-7: 6;
 5-2-3-4-8: 13;
 6-4-3-1: 17;
 6-4-3-2: 17;
 6-4-3: 10;
 6-4: 6;
 6-4-3-2-5: 18;
 6-4-3-7: 17;
 6-4-8: 7;
 7-1: 4;
 7-1-2: 5;
 7-3: 7;
 7-3-4: 11;
 7-1-2-5: 6;
 7-3-4-6: 17;
 7-3-4-8: 12;
 8-4-3-1: 12;
 8-4-3-2: 12;
 8-4-3: 5;
 8-4: 1;
 8-4-3-2-5: 13;
 8-4-6: 7;
 8-4-3-7: 12;
