shortests paths:
 1-2: 6;
 1-3: 1;
 1-4: 8;
 1-5: 6;
 1-3-6: 5;
 1-7: 6;
 1-4-8: 15;
 2-1: 6;
 2-1-3: 7;
 2-1-4: 14;
 2-1-5: 12;
 2-1-3-6: 11;
 2-7: 9;
 2-1-4-8: 21;
 3-1: 1;
 3-1-2: 7;
 3-1-4: 9;
 3-5: 7;
 3-6: 4;
 3-1-7: 7;
 3-1-4-8: 16;
 4-1: 8;
 4-1-2: 14;
 4-1-3: 9;
 4-5: 3;
 4-1-3-6: 13;
 4-1-7: 14;
 4-8: 7;
 5-1: 6;
 5-1-2: 12;
 5-3: 7;
 5-4: 3;
 5-6: 10;
 5-1-7: 12;
 5-4-8: 10;
 6-3-1: 5;
 6-3-1-2: 11;
 6-3: 4;
 6-3-1-4: 13;
 6-5: 10;
 6-3-1-7: 11;
 6-3-1-4-8: 20;
 7-1: 6;
 7-2: 9;
 7-1-3: 7;
 7-1-4: 14;
 7-1-5: 12;
 7-1-3-6: 11;
 7-1-4-8: 21;
 8-4-1: 15;
 8-4-1-2: 21;
 8-4-1-3: 16;
 8-4: 7;
 8-4-5: 10;
 8-4-1-3-6: 20;
 8-4-1-7: 21;
