shortests paths:
 1-2: 1;
 1-2-3: 2;
 1-4: 8;
 1-5: 10;
 1-6: 5;
 1-7: 8;
 1-8: 7;
 2-1: 1;
 2-3: 1;
 2-4: 8;
 2-1-5: 11;
 2-1-6: 6;
 2-3-7: 8;
 2-1-8: 8;
 3-2-1: 2;
 3-2: 1;
 3-2-4: 9;
 3-2-1-5: 12;
 3-2-1-6: 7;
 3-7: 7;
 3-2-1-8: 9;
 4-1: 8;
 4-2: 8;
 4-2-3: 9;
 4-1-5: 18;
 4-1-6: 13;
 4-1-7: 16;
 4-1-8: 15;
 5-1: 10;
 5-1-2: 11;
 5-1-2-3: 12;
 5-1-4: 18;
 5-6: 10;
 5-1-7: 18;
 5-8: 5;
 6-1: 5;
 6-1-2: 6;
 6-1-2-3: 7;
 6-1-4: 13;
 6-5: 10;
 6-1-7: 13;
 6-1-8: 12;
 7-1: 8;
 7-3-2: 8;
 7-3: 7;
 7-1-4: 16;
 7-1-5: 18;
 7-1-6: 13;
 7-1-8: 15;
 8-1: 7;
 8-1-2: 8;
 8-1-2-3: 9;
 8-1-4: 15;
 8-5: 5;
 8-1-6: 12;
 8-1-7: 15;
