shortests paths:
 1-2: 7;
 1-3: 1;
 1-3-4: 2;
 1-3-5: 3;
 1-3-4-6: 9;
 1-7: 3;
 1-3-8: 3;
 2-1: 7;
 2-1-3: 8;
 2-1-3-4: 9;
 2-5: 8;
 2-1-3-4-6: 16;
 2-7: 4;
 2-8: 8;
 3-1: 1;
 3-1-2: 8;
 3-4: 1;
 3-5: 2;
 3-4-6: 8;
 3-1-7: 4;
 3-8: 2;
 4-3-1: 2;
 4-3-1-2: 9;
 4-3: 1;
 4-3-5: 3;
 4-6: 7;
 4-3-1-7: 5;
 4-3-8: 3;
 5-3-1: 3;
 5-2: 8;
 5-3: 2;
 5-3-4: 3;
 5-3-4-6: 10;
 5-3-1-7: 6;
 5-3-8: 4;
 6-4-3-1: 9;
 6-4-3-1-2: 16;
 6-4-3: 8;
 6-4: 7;
 6-4-3-5: 10;
 6-4-3-1-7: 12;
 6-4-3-8: 10;
 7-1: 3;
 7-2: 4;
 7-1-3: 4;
 7-1-3-4: 5;
 7-1-3-5: 6;
 7-1-3-4-6: 12;
 7-8: 5;
 8-3-1: 3;
 8-2: 8;
 8-3: 2;
 8-3-4: 3;
 8-3-5: 4;
 8-3-4-6: 10;
 8-7: 5;
