shortests paths:
 1-2: 4;
 1-3: 1;
 1-4: 9;
 1-3-5: 4;
 1-3-5-6: 8;
 1-7: 7;
 1-3-5-6-8: 9;
 2-1: 4;
 2-1-3: 5;
 2-1-4: 13;
 2-1-3-5: 8;
 2-1-3-5-6: 12;
 2-7: 6;
 2-1-3-5-6-8: 13;
 3-1: 1;
 3-1-2: 5;
 3-5-4: 8;
 3-5: 3;
 3-5-6: 7;
 3-1-7: 8;
 3-5-6-8: 8;
 4-1: 9;
 4-1-2: 13;
 4-5-3: 8;
 4-5: 5;
 4-6: 1;
 4-8-7: 9;
 4-8: 2;
 5-3-1: 4;
 5-3-1-2: 8;
 5-3: 3;
 5-4: 5;
 5-6: 4;
 5-3-1-7: 11;
 5-6-8: 5;
 6-5-3-1: 8;
 6-5-3-1-2: 12;
 6-5-3: 7;
 6-4: 1;
 6-5: 4;
 6-8-7: 8;
 6-8: 1;
 7-1: 7;
 7-2: 6;
 7-1-3: 8;
 7-8-4: 9;
 7-1-3-5: 11;
 7-8-6: 8;
 7-8: 7;
 8-6-5-3-1: 9;
 8-6-5-3-1-2: 13;
 8-6-5-3: 8;
 8-4: 2;
 8-6-5: 5;
 8-6: 1;
 8-7: 7;
